"","CH_NORM_REAL","LST_NORM","NDMI_NORM","NDVI_NORM","JARAK_JALAN_NORM","LULC1.TA","TWI_LOG","SLOPE_LOG","TVI_LOG","Hotspot"
"70",0.93197363615036,0.328839272260666,0.721214532852173,0.888257682323456,0.148587286472321,"2",-0.792968511581421,-0.498240202665329,-2.16681003570557,"2"
"72",0.988656282424927,0.401598244905472,0.779830753803253,0.948198437690735,0.203672960400581,"2",-0.896603167057037,-0.492953985929489,-2.46235585212708,"2"
"74",0.64378696680069,0.487259924411774,0.701875746250153,0.932646632194519,0.201272025704384,"2",-0.719599008560181,-0.689323782920837,-2.36507749557495,"2"
"75",0.579049527645111,0.50621885061264,0.69050520658493,0.898633599281311,0.0766421034932137,"2",-0.434590011835098,-0.904403150081635,-2.07534694671631,"2"
"76",0.526313543319702,0.517530143260956,0.641936838626862,0.922896146774292,0.11385665088892,"2",-0.48113152384758,-0.615308284759521,-2.21579170227051,"2"
"77",0.48341828584671,0.511425673961639,0.813788056373596,0.950890421867371,0.0484727211296558,"2",-0.872515559196472,-0.594640672206879,-2.28922533988953,"2"
"78",0.53610622882843,0.457896947860718,0.649154245853424,0.884411573410034,0.171376958489418,"2",-0.898406624794006,-0.495030611753464,-2.31699562072754,"2"
"79",0.486451148986816,0.429289609193802,0.681202530860901,0.879512667655945,0.072009265422821,"2",-0.978352427482605,-0.501206338405609,-2.08533191680908,"2"
"80",0.427282333374023,0.508307039737701,0.766216397285461,0.886939585208893,0.0201272033154964,"2",-0.674984931945801,-0.563050448894501,-2.10319852828979,"2"
"81",0.381028324365616,0.507707178592682,0.657232165336609,0.920980632305145,0.066450260579586,"2",-0.325439631938934,-0.692570686340332,-2.13282346725464,"2"
"82",0.423605442047119,0.472592771053314,0.726223051548004,0.931376278400421,0.0769059360027313,"2",-0.743490695953369,-0.597833216190338,-2.27831077575684,"2"
"83",0.47449266910553,0.453983336687088,0.738635718822479,0.937799215316772,0.0445534624159336,"2",-0.330897837877274,-0.628580689430237,-2.24361824989319,"2"
"85",0.41931825876236,0.548107624053955,0.595267713069916,0.836857855319977,0.111156113445759,"2",-0.799022495746613,-0.431346625089645,-2.1114342212677,"2"
"86",0.377098947763443,0.487260639667511,0.783440053462982,0.927505135536194,0.118903905153275,"2",-0.908387362957001,-0.868912279605865,-2.28763699531555,"2"
"90",0.536537230014801,0.504886567592621,0.595842301845551,0.838870942592621,0.0766421034932137,"11",-0.55945885181427,-0.399600565433502,-2.18508362770081,"2"
"91",0.574154376983643,0.426717013120651,0.705569505691528,0.929298400878906,0.302578210830688,"2",-0.744796454906464,-0.494178473949432,-2.32448506355286,"2"
"92",0.521837294101715,0.501444935798645,0.652294993400574,0.925545573234558,0.264961451292038,"2",-0.767378807067871,-0.612342178821564,-2.25387096405029,"2"
